type,id,name,spectral_type,x_pc,y_pc,z_pc,vx_kms,vy_kms,vz_kms,temperature_k,mass_solar,luminosity_solar,absolute_mag,epoch,notes,constellation,ra_deg,dec_deg,astrometry_epoch,parallax_mas,parallax_error_mas,pm_ra_cosdec_masyr,pm_ra_error_masyr,pm_dec_masyr,pm_dec_error_masyr,radial_velocity_kms,radial_velocity_error_kms,astrometry_ref,radial_velocity_ref
star,10pc-0127,HD 119850,M1.5,1.624373607,-0.240572401,5.180618403,61.145237,-1.826301,-2.680541,3620,,,9.824148,2000.0,"10pc census (2023-08-25), object 127, system 66; HD 119850. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M1.5V mean dwarf class, not a measured temperature. Absolute Johnson V derived from 10pc Vmag=8.5 and adopted distance; negligible extinction assumed. Photometric epoch, uncertainty and individual V bibliography not supplied by compilation. No orbital model.",Bootes,206.440565845,14.885052705,2016.0,183.9962,0.0253,1776.006179566,0.033817586,-1455.155718006,0.016629888,15.812,0.0009,2020yCat.1350....0G,2018A&A...616A...7S
white_dwarf,10pc-0129,Stein 2051 B,DC,-4.645450012,2.891157723,0.702304658,,,,,,,,2000.0,"10pc census (2023-08-25), object 129, system 67; GJ 169.1 B. J2000 Sun-relative Galactic position via Astropy; transverse-only; unknown/withheld RV, no exported velocity. No appropriate object-specific temperature adopted; dwarf sequence not applied. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Camelopardalis,67.813891975,58.969481205,2016.0,181.273,0.0203,1334.779692951,0.021359613,-1947.638150542,0.018827802,,,2020yCat.1350....0G,
star,10pc-0128,Stein 2051 A,M4e,-4.645787839,2.891454179,0.702129681,-58.433158,-37.124583,-7.574027,3210,,,,2000.0,"10pc census (2023-08-25), object 128, system 67; GJ 169.1 A. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M4V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Camelopardalis,67.809190628,58.967979972,2016.0,181.2438,0.0499,1300.364783603,0.05556656,-2046.105518897,0.047106765,28.797,0.0143,2020yCat.1350....0G,2018A&A...616A...7S
brown_dwarf,10pc-0130,2MASS J11145133-2618235,T7.5,0.610650321,-4.706783310,2.934907648,,,,750,,,,2000.0,"10pc census (2023-08-25), object 130, system 68; 2MASS J11145133-2618235. J2000 Sun-relative Galactic position via Astropy; transverse-only; unknown/withheld RV, no exported velocity. Estimated: Pecaut-Mamajek 2022.04.16 T7.5V mean dwarf class, not a measured temperature. Johnson V unknown in source; no G/IR substitution. No orbital model.",Hydra,168.713905,-26.306545,2000.0,179.2,1.4,-3021.5,1.8,-389.5,2.1,,,2012ApJS..201...19D,
star,10pc-0131,Wolf 294,M3,-5.383466887,-0.276138164,1.458057547,-27.675288,-3.683099,-15.077395,3430,,,,2000.0,"10pc census (2023-08-25), object 131, system 69; GJ 251. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M3V mean dwarf class, not a measured temperature. Johnson V unknown in source; no G/IR substitution. No orbital model.",Gemini,103.700129227,33.266408018,2016.0,179.0629,0.028,-726.672077836,0.030037006,-398.102378946,0.024498533,22.927,0.0012,2020yCat.1350....0G,2018A&A...616A...7S
star,10pc-0133,LP 816-60,M4,4.017995785,2.335091369,-3.160085875,16.623900,7.207562,-2.538807,3210,,,12.709364,2000.0,"10pc census (2023-08-25), object 133, system 70; LP 816-60. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M4V mean dwarf class, not a measured temperature. Absolute Johnson V derived from 10pc Vmag=11.458 and adopted distance; negligible extinction assumed. Photometric epoch, uncertainty and individual V bibliography not supplied by compilation. No orbital model.",Capricornus,313.13613276,-16.974558468,2016.0,177.9312,0.0365,-309.115018747,0.04104025,37.050906245,0.025808834,16.308,0.0008,2020yCat.1350....0G,2018A&A...616A...7S
brown_dwarf,10pc-0134,WISE J035000.32-565830.2,Y1,-0.067568930,-3.889329059,-4.123756719,,,,360,,,,2000.0,"10pc census (2023-08-25), object 134, system 71; WISE J035000.32-565830.2. J2000 Sun-relative Galactic position via Astropy; transverse-only; unknown/withheld RV, no exported velocity. Estimated: Pecaut-Mamajek 2022.04.16 Y1V mean dwarf class, not a measured temperature. Johnson V unknown in source; no G/IR substitution. No orbital model.",Reticulum,57.500868,-56.975831,2015.3,176.4,2.3,-208.7,1.0,-575.4,1.1,,,2021ApJS..253....7K,
star,10pc-0135,2MASSI J1835379+325954,M8.5,2.577328272,4.775821818,1.705261291,18.400689,-7.317744,-5.175463,2420,,,,2000.0,"10pc census (2023-08-25), object 135, system 72; 2MASSI J1835379+325954. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M8.5V mean dwarf class, not a measured temperature. Johnson V unknown in source; no G/IR substitution. No orbital model.",Lyra,278.90744885,32.994787159,2016.0,175.793,0.0468,-72.650405249,0.047247637,-755.145622633,0.052375123,0.643,0.183,2020yCat.1350....0G,2020A&A...636A..36L
star,10pc-0136,HD 36395,M1.5,-4.795068419,-2.436327381,-1.899092087,22.125834,-55.711984,-10.285781,3620,,,9.187126,2000.0,"10pc census (2023-08-25), object 136, system 73; HD 36395. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M1.5V mean dwarf class, not a measured temperature. Absolute Johnson V derived from 10pc Vmag=7.968 and adopted distance; negligible extinction assumed. Photometric epoch, uncertainty and individual V bibliography not supplied by compilation. No orbital model.",Orion,82.867541115,-3.686527602,2016.0,175.3131,0.0204,761.630901598,0.01798819,-2092.208719837,0.013469684,8.631,0.0132,2020yCat.1350....0G,2018A&A...616A...7S
brown_dwarf,10pc-0137,2MASSI J0415195-093506,T8,-4.088264142,-1.730464055,-3.587498274,,,,680,,,,2000.0,"10pc census (2023-08-25), object 137, system 74; 2MASSI J0415195-093506. J2000 Sun-relative Galactic position via Astropy; transverse-only; unknown/withheld RV, no exported velocity. Estimated: Pecaut-Mamajek 2022.04.16 T8V mean dwarf class, not a measured temperature. Johnson V unknown in source; no G/IR substitution. No orbital model.",Eridanus,63.831432,-9.585187,2000.0,175.2,1.7,2214.3,1.2,535.9,1.2,,,2012ApJS..201...19D,
star,10pc-0138,GJ 229 A,M1,-3.613439250,-4.100413697,-1.822240545,11.862536,-11.814908,-11.900354,3660,,,,2000.0,"10pc census (2023-08-25), object 138, system 75; GJ 229 A. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M1V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Lepus,92.643579082,-21.867823113,2016.0,173.574,0.017,-135.691607948,0.010703687,-719.178133955,0.01708214,4.734,0.0006,2020yCat.1350....0G,2018A&A...616A...7S
